,consumo electrico,fecha,Cierre,Vader_iecon,Vader_gimnasio,ICC,Tendencia prevista ICC,Situación económica de los hogares,IC comercio minorista,DG ECFIN Business and Consumer Survey,Vader_running,Vader_fitness,Vader_deporte,Vader_trabajo,Vader_salbien,Vader_salud,Vader_salbe,Afiliacion,Vader_recon1,Vader_seguro,BlobText_seguro,reconocimiento medico,revision medica,seguro medico,cobertura medica,salud
41,732958.579,2019-02-20,9181.099609375,0.0307875,0.11185454545454544,-5.7,-4.0,4.3,5.9,-7.0,0.2412859580641916,0.1742466666666667,-0.0185,-0.14924999999999994,0.0,-0.07819,0.0,19171300.0,0.0,0.1779,0.0,1.0,0.0,2.0,0.0,67.0
42,732958.579,2019-02-21,9191.2001953125,0.03172,0.13765555555555556,-5.7,-4.0,4.3,5.9,-7.0,0.05867151436064074,0.1792470588235294,0.017723076923076918,-0.14924999999999994,0.15643333333333334,-0.038191666666666665,0.0,19171300.0,0.0,0.1779,0.0,1.0,0.0,2.0,0.0,67.0
43,732958.579,2019-02-22,9204.599609375,-0.04228571428571428,0.14878000000000002,-5.7,-4.0,4.3,5.9,-7.0,0.4574597806935197,0.14267647058823532,0.04327222222222222,-0.14924999999999994,0.0,-0.03278823529411765,0.0,19171300.0,0.0,0.1779,0.0,1.0,0.0,2.0,0.0,67.0
44,732958.579,2019-02-23,9204.2998046875,-0.2083,0.0018800000000000038,-5.7,-4.0,4.3,5.9,-7.0,0.09236209437554356,0.08720499999999999,-0.04399444444444443,-0.14924999999999994,0.0,-0.056692857142857135,-0.5983,19171300.0,0.0,0.1779,0.0,1.0,0.0,2.0,0.0,67.0
45,732958.579,2019-02-24,9204.2998046875,0.0,0.16433333333333336,-5.7,-4.0,4.3,5.9,-7.0,0.5859421951641208,0.0253125,-0.08529375,-0.14924999999999994,0.0,0.13406521739130434,-0.5983,19171300.0,0.0,0.1779,0.0,1.0,0.0,2.0,0.0,67.0
46,732958.579,2019-02-25,9204.2998046875,0.0,0.2423,-5.7,-4.0,4.3,5.9,-7.0,0.3618868508544077,0.24258421052631576,0.00777619047619048,-0.14924999999999994,-0.19943333333333332,-0.024611538461538462,-0.5983,19171300.0,0.0,0.1779,0.0,1.0,0.0,2.0,0.0,67.0
47,732958.579,2019-02-26,9227.2001953125,-0.05802222222222224,0.18272500000000005,-5.7,-4.0,4.3,5.9,-7.0,0.08132610917276346,0.08040499999999999,-0.04951481481481482,-0.14924999999999994,0.0,-0.08625625,0.0,19171300.0,0.0,0.1779,0.0,1.0,0.0,2.0,0.0,67.0
48,732958.579,2019-02-27,9211.7001953125,-0.09141111111111112,0.13392307692307692,-5.7,-4.0,4.3,5.9,-7.0,0.025967037294874318,0.158432,0.04590588235294118,-0.14924999999999994,0.0,-0.14121153846153847,-0.5267,19171300.0,0.0,0.1779,0.0,1.0,0.0,2.0,0.0,67.0
49,732958.579,2019-02-28,9277.7001953125,-0.009369999999999998,0.276,-5.7,-4.0,4.3,5.9,-7.0,0.1619894217885003,0.07995789473684213,-0.07283500000000001,-0.14924999999999994,0.0,0.12863125,0.0,19171300.0,0.0,0.1779,0.0,1.0,0.0,2.0,0.0,67.0
50,732958.579,2019-03-01,9267.7001953125,0.0,0.10052857142857144,-2.1,2.6,8.0,10.0,-7.0,0.15078076237905466,0.07916956521739131,0.07766666666666668,-0.14924999999999994,0.05666666666666668,0.002228571428571437,0.0,19171300.0,0.0,0.1779,0.0,1.0,0.0,2.0,0.0,67.0
